,Ticker,10-K Report Date,10-K Report URL
0,IBM,2011-02-22,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-11-001117.txt
1,IBM,2010-02-23,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-10-001151.txt
2,IBM,2009-02-24,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-09-001737.txt
3,IBM,2008-02-26,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-08-001731.txt
4,IBM,2007-02-27,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-07-001434.txt
5,IBM,2004-03-08,https://www.sec.gov/Archives/edgar/data/0000051143/0001047469-04-006934.txt
6,ORCL,2009-06-29,https://www.sec.gov/Archives/edgar/data/0001341439/0000950123-09-018689.txt
7,ORCL,2008-07-02,https://www.sec.gov/Archives/edgar/data/0001341439/0000950134-08-012257.txt
8,ORCL,2007-06-29,https://www.sec.gov/Archives/edgar/data/0001341439/0000950134-07-014478.txt
9,PATK,2009-04-15,https://www.sec.gov/Archives/edgar/data/0000076605/0000914760-09-000078.txt
10,PWR,2008-02-29,https://www.sec.gov/Archives/edgar/data/0001050915/0000950129-08-001378.txt
